Date/Time,ABF:Zone Mean Air Temperature [C](Hourly),ANTEROOM:Zone Mean Air Temperature [C](Hourly),FREEZER1:Zone Mean Air Temperature [C](Hourly),FREEZER2:Zone Mean Air Temperature [C](Hourly),FREEZER3:Zone Mean Air Temperature [C](Hourly),FREEZER4:Zone Mean Air Temperature [C](Hourly),GUDANG:Zone Mean Air Temperature [C](Hourly),ABF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ANTEROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly) 
 10/18  08:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.900556505061529,42288081.844848104,45956863.74148939,29932946.169341102,30177709.74453027,29308790.04437066,29559868.525958598 
 10/18  09:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.858425997672464,42535859.69394304,50306714.82140569,30086920.73450094,30331559.711397383,29460345.16511679,29711281.316767633 
 10/18  10:00:00,-40.00000000000001,4.0,-18.0,-18.000000000000004,-18.0,-18.0,14.820585998871644,42708462.659157775,51277466.87760395,30289478.008884337,30534056.114489943,29662018.764747005,29912889.179314956 
 10/18  11:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.000000000000004,14.787677089269996,42882596.65754844,52241406.88135063,30492920.8655434,30737481.84323004,29865433.646341696,30116293.879862104 
 10/18  12:00:00,-39.99999999999999,4.0,-18.0,-18.0,-18.0,-17.999999999999996,14.758354692361648,42980552.0807051,52841265.19041338,30614905.029551297,30859484.99768913,29987803.563104928,30238700.6084147 
 10/18  13:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.000000000000004,-18.0,14.732901858341178,43025178.7456172,53201600.5833065,30681284.224308,30925928.696166344,30054774.42159123,30305759.454733428 
 10/18  14:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.71045474623574,43070141.70384041,53607798.67058103,30747838.731512994,30992556.942808688,30121778.039928116,30372857.55318825 
 10/18  15:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.694645844364222,43061364.140015155,53684183.61966225,30739101.758905265,30984310.172437117,30113839.90299353,30365464.350367844 
 10/18  16:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.731819156215622,43072344.05753767,53394540.62273148,30715197.698981255,30963566.11103389,30097765.38896685,30352839.566109642 
 10/18  17:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.846790191914991,43118174.66884599,53113857.61719293,30712285.894411743,30966072.958871838,30106283.638662755,30367188.558339708 
 10/18  18:00:00,-40.0,4.0,-18.000000000000004,-18.0,-18.0,-18.0,14.977018564915303,13044931.529604178,1225112.6607082542,30609108.306586355,30867925.04518356,30011416.006909575,30277629.467732083 
 10/18  19:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.061322674007336,12997734.118106568,914592.0711027246,30388240.916898236,30649396.57349605,29794205.03636474,30062832.465737764 
 10/18  20:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.078125803665495,12951560.149495278,759383.9213720753,30144221.57337241,30403896.22434279,29548037.941126656,29815082.40715412 
 10/18  21:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,15.043301473571873,12887618.641985122,660310.4215169544,30020868.71165485,30277300.108771928,29419935.487513646,29683547.459450345 
 10/18  22:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.985365998570089,12828997.704108614,593615.486390103,29981475.61132756,30234746.37205019,29375459.7355636,29635712.90773955 
 10/18  23:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.92303924318564,12783162.183910256,546174.1436196173,29949658.2482579,30200395.969793037,29339473.421985626,29597028.404349413 
 10/18  24:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.864669846378844,12749711.094222285,512992.1251493442,29925881.174069963,30174729.741327852,29312693.677192144,29568237.573099054 
 10/19  01:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.813043476325705,12726693.162448863,488507.8669588738,29909392.4224104,30156880.773977734,29294297.920704156,29548399.397284944 
 10/19  02:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.768425664377146,12711239.972018607,470487.5907537051,29898368.8413011,30144888.303755116,29282144.41352687,29535223.432340182 
 10/19  03:00:00,-40.0,4.0,-17.999999999999996,-18.0,-18.0,-17.999999999999996,14.729540217557917,12700522.47488868,454815.1763794272,29845571.493762724,30091390.89502975,29228669.977772728,29481013.477612972 
 10/19  04:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.695013720725528,12691896.323253207,439235.95264744945,29761433.135967784,30006702.756249778,29143964.629197232,29395726.72073622 
 10/19  05:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.0,-18.0,14.662083998338671,12683326.178383287,422260.8305138724,29676986.39347699,29921704.42443502,29058756.581207115,29309929.125541694 
 10/19  06:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.000000000000004,-18.0,14.628070717305732,12672698.567480702,410586.2876262327,29710301.83744793,29954387.342757598,29090800.407803692,29341286.309763655 
 10/19  07:00:00,-40.0,4.0,-18.000000000000004,-18.0,-18.0,-18.0,14.591952488548237,12660181.787650071,427748.4208017937,29850790.54424289,30094406.20377906,29230112.37287683,29480083.3659714 
 10/19  08:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.56090593419293,42320062.53538959,46425225.5943932,29994036.006320067,30238744.268793825,29379367.153890807,29630670.158487543 
 10/19  09:00:00,-40.00000000000001,4.000000000000001,-18.0,-18.0,-18.0,-18.0,14.557308610696102,42677543.49246143,51319318.71078807,30265954.655633967,30514966.013772145,29675125.34705199,29931597.904491372 
 10/19  10:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,14.602789789459669,43029704.817359306,52997650.801666096,30660239.820049927,30915680.224131748,30109944.29742103,30374227.26022627 
 10/19  11:00:00,-40.00000000000001,4.0,-17.999999999999996,-18.0,-18.0,-18.0,14.705807692060349,43413692.044993564,54694815.79279726,31087121.026007567,31348869.727538478,30578413.34731727,30850410.699626826 
